name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,reach_to_height
HyunSung Park,8,0,0,170.18,56.7,167.64,Orthodox,3.51,48.0,2.62,59.0,2.23,30.0,100.0,3.7,0.9850746268656715
Igor Gracie,5,4,0,180.34,77.11,184.94287292817683,Orthodox,1.86,60.0,0.99,50.0,3.72,50.0,0.0,3.7,1.0255233055793325
Brady Fink,2,3,0,182.88,83.01,187.28926406926408,Orthodox,1.69,41.0,1.69,61.0,3.63,25.0,0.0,3.6,1.0241101491101492
Tatsuya Mizuno,16,12,1,185.42,92.99,190.05953757225436,Southpaw,2.25,37.0,3.52,53.0,1.19,25.0,40.0,3.6,1.0250217752791198
Per Eklund,14,5,1,177.8,70.31,182.88,Orthodox,2.07,61.0,2.38,67.0,2.07,11.0,50.0,3.6,1.0285714285714285
Daisuke Nakamura,28,19,1,170.18,69.85,174.71661691542292,Orthodox,0.94,30.0,1.38,61.0,0.46,40.0,30.0,3.6,1.026657755996139
Brennan Ward,14,5,0,177.8,77.11,180.34,Orthodox,7.2,60.0,2.76,52.0,0.0,0.0,100.0,3.6,1.0142857142857142
Ken Kaneko,0,3,0,182.88,73.03,187.28926406926408,Orthodox,0.0,0.0,0.94,42.0,0.0,0.0,0.0,3.5,1.0241101491101492
Rolando Delgado,11,6,1,190.5,70.31,195.58,Orthodox,1.56,40.0,1.83,62.0,1.17,22.0,0.0,3.5,1.0266666666666668
Mike King,5,1,0,190.5,83.91,195.41873015873017,Orthodox,4.44,58.0,1.29,72.0,1.75,25.0,40.0,3.5,1.025820105820106
Kit Cope,6,7,0,182.88,77.11,187.28926406926408,Orthodox,1.18,52.0,2.12,35.0,0.0,0.0,50.0,3.5,1.0241101491101492
Chris Sanford,5,1,0,180.34,83.91,184.94287292817683,Orthodox,0.23,50.0,3.22,17.0,0.0,0.0,0.0,3.5,1.0255233055793325
Junie Browning,5,6,0,175.26,70.31,180.1527188940092,Orthodox,3.76,48.0,1.76,66.0,3.53,66.0,0.0,3.5,1.0279169171174782
Preston Parsons,10,4,0,180.34,77.11,180.34,Orthodox,4.14,56.0,3.76,49.0,3.11,33.0,100.0,3.5,1.0
Mike Budnik,13,4,0,175.26,65.77,172.72,Orthodox,0.65,52.0,0.95,53.0,0.0,0.0,0.0,3.4,0.9855072463768116
Zhang Tiequan,15,4,0,172.72,70.31,175.26,Orthodox,1.23,36.0,2.14,51.0,1.95,58.0,75.0,3.4,1.0147058823529411
